question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images,category
"การขับรถผ่านทางร่วมทางแยกต้องปฏิบัติอย่างไร",การขับรถผ่านทางร่วมทางแยก ท่านต้องปฏิบัติตามสัญญาณไฟจราจรหรือกฎจราจรอย่างเคร่งครัด,ปฏิบัติตามสัญญาณไฟจราจรหรือกฎจราจรอย่างเคร่งครัด,true,เมื่อพบป้ายเตือนทางร่วมทางแยกให้ขับรถด้วยความเร็วปกติ,false,หากไม่มีสัญญาณไฟจราจร ให้รถคันที่ใหญ่กว่าผ่านทางร่วมทางแยกไปก่อน,false,เมื่อพบป้ายเตือนสัญญาณไฟบริเวณทางร่วมทางแยกให้ขับรถไปตามปกติ,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"ผู้ขับขี่ต้องการเลี้ยวรถต้องปฏิบัติอย่างไร",ผู้ขับขี่ที่ต้องการเลี้ยวรถต้องชะลอรถและเปิดไฟเลี้ยวก่อนถึงทางเลี้ยวไม่น้อยกว่า 30 เมตร,ชะลอรถและเปิดไฟเลี้ยวก่อนถึงทางเลี้ยวไม่น้อยกว่า 30 เมตร,true,เปิดไฟเลี้ยวก่อนถึงทางเลี้ยว 20 เมตร,false,หยุดรถเพื่อเตรียมตัวเลี้ยว,false,เร่งความเร็วก่อนเลี้ยว,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"การหยุดรถบริเวณทางแยกผู้ขับขี่ต้องปฏิบัติอย่างไร",การหยุดรถบริเวณทางแยกผู้ขับขี่ต้องหยุดหลังเส้นแนวหยุด,หยุดทับเส้นแนวหยุด,false,หยุดหลังเส้นแนวหยุด,true,หยุดเลยเส้นแนวหยุด,false,หยุดเลยป้ายหยุด,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"บริเวณใดห้ามแซง",บริเวณที่ห้ามแซง ได้แก่ บริเวณทางโค้งรัศมีแคบ  ส่วนบริเวณที่ผู้ขับขี่สามารถแซงได้ คือ บริเวณทางตรง  ทางโล่ง ทางที่ปลอดภัย  ทั้งนี้ ต้องใช้ความระมัดระวังขณะแซงด้วย,ทางตรง,false,ทางที่ปลอดภัย,false,ทางโล่ง,false,ทางโค้งรัศมีแคบ,true,[  ],กฎหมายว่าด้วยจราจรทางบก
"การจอดรถต้องจอดให้ห่างจากขอบทางไม่เกินกี่เซนติเมตร",การจอดรถต้องจอดให้ห่างจากขอบทางไม่เกิน 25 เซนติเมตร,ห่างไม่เกิน 35 เซนติเมตร,false,ห่างไม่เกิน 30 เซนติเมตร,false,ห่างไม่เกิน 25 เซนติเมตร,true,ห่างไม่เกิน 40 เซนติเมตร,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"การขับรถแซงรถคันหน้าต้องแซงด้านขวามือ ยกเว้นกรณีใดที่สามารถแซงด้านซ้ายมือได้",การขับรถแซงรถคันหน้าต้องแซงด้านขวามือ ยกเว้นกรณีที่เมื่อรถที่จะถูกแซงกำลังเลี้ยวขวา หรือให้สัญญาณว่าจะเลี้ยวขวา ผู้ขับขี่จึงสามารถแซงด้านซ้ายมือได้,เมื่อรถที่จะถูกแซงกำลังเลี้ยวขวา หรือให้สัญญาณว่าจะเลี้ยวขวา,true,แซงรถคันอื่นทางด้านซ้ายในทางเดินรถช่องทางเดียว,false,แซงรถคันอื่นในช่องทางขวาของรถที่ถูกแซง,false,แซงรถคันอื่นทางด้านซ้ายขณะรถวิ่งบนสะพาน,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"รถในข้อใดที่สามารถนำมาใช้ในทางได้",รถที่สามารถนำมาใช้ในทางได้ต้องเป็นรถที่จดทะเบียนและเสียภาษีแล้ว มีการติดแผ่นป้ายทะเบียนของทางราชการกำหนด และมีอุปกรณ์ส่วนควบครบถ้วน,รถที่ไม่ติดแผ่นป้ายทะเบียนของทางราชการกำหนด,true,รถที่จดทะเบียนและเสียภาษีแล้ว,false,รถที่ขาดต่อภาษี,false,รถที่แจ้งเลิกใช้ตลอดไป,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"รถในข้อใด ห้ามนำมาใช้ในทาง",รถที่ห้ามนำมาใช้ในทาง เช่น รถที่ขาดต่อภาษี รถที่ไม่ติดแผ่นป้ายทะเบียนของทางราชการกำหนด  รถที่มีสภาพไม่มั่นคงแข็งแรง และรถที่แจ้งเลิกใช้ตลอดไป เป็นต้น,รถที่มีสภาพไม่มั่นคงแข็งแรง,true,รถที่ติดแผ่นป้ายทะเบียนของทางราชการกำหนด,false,รถที่จดทะเบียนและเสียภาษีแล้ว,false,รถที่อุปกรณ์ส่วนควบครบถ้วน,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"เขตปลอดภัย หมายความว่าอย่างไร",เขตปลอดภัย หมายถึง พื้นที่ในทางเดินรถที่มีเครื่องหมายแสดงไว้ให้เห็นได้ชัดเจนทุกเวลาสำหรับให้คนเดินเท้าที่ข้ามทางหยุดรอ หรือให้คนที่ขึ้นหรือลงจากรถหยุดรอก่อนจะข้ามทางต่อไป,พื้นที่มีเครื่องหมายแสดงไว้ให้ผู้ขับขี่เห็นว่าปลอดภัยขับต่อไปได้,false,เขตที่ผู้ขับขี่สามารถนำรถผ่านเข้าไปได้,false,พื้นที่ในทางเดินรถที่มีเครื่องหมายแสดงไว้ให้เห็นได้ชัดเจนทุกเวลาสำหรับให้คนเดินเท้าที่ข้ามทางหยุดรอ หรือให้คนที่ขึ้นหรือลงจากรถหยุดรอก่อนจะข้ามทางต่อไป,true,เขตที่คนเดินเท้าสามารถข้ามทางได้โดยไม่ต้องหยุดรอ,false,[  ],กฎหมายว่าด้วยจราจรทางบก
"รถในข้อใดที่สามารถนำมาใช้ในทางเดินรถได้",รถที่สามารถนำมาใช้ในทางเดินรถได้ต้องเป็นรถที่มีเสียงเครื่องยนต์ดังในระดับ 80 เดซิเบล  ห้ามนำรถที่มีเสียงดังกว่าเกณฑ์ที่ทางราชการกำหนด  รถที่มีสิ่งลากถูไปบนทางเดินรถ หรือรถที่มีล้อไม่ใช่ยาง มาใช้ในทาง,รถที่มีเสียงดังกว่าเกณฑ์ที่ทางราชการกำหนด,false,รถที่มีสิ่งลากถูไปบนทางเดินรถ,false,รถที่มีล้อไม่ใช่ยาง,false,รถที่มีเสียงเครื่องยนต์ดังในระดับ 80 เดซิเบล,true,[  ],กฎหมายว่าด้วยจราจรทางบก
"สัญญาณจราจรไฟสีแดงที่ทำเป็นรูปกากบาทเฉียงอยู่เหนือช่องเดินรถ ห้ามมิให้ผู้ขับขี่ขับรถอย่างไร",สัญญาณจราจรไฟสีแดงที่ทำเป็นรูปกากบาทเฉียงอยู่เหนือช่องเดินรถ หมายถึง ห้ามมิให้ผู้ขับขี่ขับรถในช่องเดินรถนั้น,จอดรถในช่องเดินรถนั้น,false,หยุดและจอดรถในช่องเดินรถนั้น,false,ขับรถในช่องเดินรถนั้น,true,หยุดรถในช่องเดินรถนั้น,false,[  ],กฎหมายว่าด้วยจราจรทางบก
