question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images,category
"การขับรถเข้าวงเวียนที่ไม่มีสัญญาณไฟจราจรควรปฏิบัติอย่างไร",การขับรถเข้าวงเวียนที่ไม่มีสัญญาณไฟจราจรควรให้รถทางขวามือของเราที่อยู่ในวงเวียนไปก่อน,ให้รถทางขวามือของเราที่อยู่ในวงเวียนไปก่อน,true,ให้รถทางซ้ายมือของเราที่อยู่ในวงเวียนไปก่อน,false,ให้รถที่เข้าวงเวียนและจะเลี้ยวซ้ายไปก่อน,false,ให้รถที่เข้าวงเวียนและจะตรงไปให้ไปก่อน,false,[  ],มารยาทและจิตสำนึก
"การขับรถเลี้ยวบริเวณทางแยกที่มีช่องจราจรมากกว่า 2 ช่องทาง ข้อใดถูกต้อง",การขับรถเลี้ยวบริเวณทางแยกที่มีช่องจราจรมากกว่า 2 ช่องทาง ท่านต้องขับอยู่ในช่องจราจรเดิมตั้งแต่เริ่มเข้าทางแยกจนเลี้ยวเสร็จสิ้น,เปลี่ยนช่องจราจรไปทางซ้ายหรือขวาขณะอยู่ในทางเลี้ยว,false,ขับคร่อมช่องจราจรเพื่อตีวงได้กว้างขึ้น,false,ขับอยู่ในช่องจราจรเดิมตั้งแต่เริ่มเข้าทางแยกจนเลี้ยวเสร็จสิ้น,true,ขับในช่องจราจรซ้ายสุดแล้วเปลี่ยนไปช่องจราจรด้านขวาในขณะเลี้ยว,false,[  ],มารยาทและจิตสำนึก
"ในกรณีที่ท่านขับรถผ่านซอยที่มีรถรอออกเป็นจำนวนมากควรปฏิบัติอย่างไร",ในกรณีที่ท่านขับรถผ่านซอยที่มีรถรอออกจากซอยเป็นจำนวนมาก  ท่านควรเปิดทางให้รถออกจากซอยโดยสลับกับรถทางตรง,บีบแตรหรือให้สัญญาณไฟเตือนรถที่จะออกจากซอยก่อนขับผ่านไป,false,เปิดทางให้รถออกจากซอยได้บ้างสลับกับรถทางตรง,true,พยายามขับให้ชิดคันหน้าเพื่อไม่ให้รถในซอยแทรกออกมา,false,ขับรถผ่านซอยด้วยความเร็วเพื่อส่งสัญญาณว่าขอไปก่อน,false,[  ],มารยาทและจิตสำนึก
"ทัศนคติและจิตสำนึกในการขับรถอย่างปลอดภัยของผู้ขับรถคืออะไร",ทัศนคติและจิตสำนึกในการขับรถอย่างปลอดภัยคือ  ขับรถอย่างมีสติเคร่งครัดวินัยจราจรแสดงออกถึงมารยาทและน้ำใจ,ขับรถช้า ใจเย็น,false,ขับรถเก่งคล่องแคล่ว,false,ขับรถอย่างมีสติเคร่งครัดวินัยจราจรแสดงออกถึงมารยาทและน้ำใจ,true,ขับรถดีไม่เกิดอุบัติเหตุ,false,[  ],มารยาทและจิตสำนึก
"สิ่งใดที่ผู้ขับรถไม่ควรทำเมื่อได้รับสัญญาณไฟเขียวให้ขับเคลื่อนรถไปได้",เมื่อได้รับสัญญาณไฟเขียวให้ขับเคลื่อนรถไปได้ ผู้ขับรถไม่ควรบีบแตรเร่งรถคันหน้าให้เคลื่อนตัวออกโดยเร็ว,ค่อยๆ เคลื่อนรถออกโดยทิ้งช่วงห่างกับคันหน้าพอสมควร,false,ชะลอให้รถจักรยานยนต์หรือรถยนต์ที่อยู่ด้านหน้าเคลื่อนออกไปก่อน,false,ตรวจสอบรถในทางแยกอื่นที่อาจวิ่งออกมาก่อนที่จะขับเข้าสู่ทางแยกด้านหน้า,false,บีบแตรเร่งรถคันหน้าให้เคลื่อนตัวออกโดยเร็ว,true,[  ],มารยาทและจิตสำนึก
"สิ่งใดที่ผู้ขับรถควรทำเมื่อได้รับสัญญาณไฟเหลือง",เมื่อได้รับสัญญาณไฟเหลือง ผู้ขับรถควรชะลอรถและหยุดรถที่เส้นขาวให้หยุดรถ เพื่อป้องกันการขับฝ่าสัญญาณไฟแดง,ชะลอรถและหยุดรถที่เส้นขาวให้หยุดรถเพื่อป้องกันการขับฝ่าสัญญาณไฟแดง,true,บีบแตรเร่งรถคันหน้าให้ขับเร็วขึ้นเพื่อให้รถเราไม่ติดสัญญาณไฟแดง,false,ขับเปลี่ยนเลนเพื่อแซงรถขึ้นไปให้พ้นสัญญาณไฟแดง,false,ขับตามคันหน้าไปโดยฝ่าสัญญาณไฟแดง,false,[  ],มารยาทและจิตสำนึก
"สิ่งที่ผู้ขับรถควรทำเมื่อเห็นคนยืนบนฟุตบาทและแสดงท่าที่จะข้ามถนนตรงทางม้าลาย",เมื่อเห็นคนยืนบนฟุตบาทและแสดงท่าที่จะข้ามถนนตรงทางม้าลาย ผู้ขับรถควรแตะเบรกเตือนให้รถหลังรู้ว่าท่านกำลังจะหยุดรถ และหยุดรถตรงทางม้าลาย,บีบแตรเตือนคนที่จะข้ามถนนและเร่งความเร็วผ่านไป,false,แตะเบรกเตือนให้รถหลังรู้ว่าท่านกำลังจะหยุดรถ และหยุดรถตรงทางม้าลาย,true,ขับรถตามหลังท้ายคันหน้าอย่างกระชั้นชิดโดยไม่หยุดให้คนข้ามถนน,false,ขับรถแซงคันที่จอดรถให้คนข้ามและขับผ่านไปโดยเร็ว,false,[  ],มารยาทและจิตสำนึก
"การให้สัญญาณไฟที่ถูกต้องเมื่อขับรถเข้าสู่ทางร่วมทางแยก",เมื่อขับรถเข้าสู่ทางร่วมทางแยก ท่านต้องให้สัญญาณไฟทุกครั้งที่ต้องการเลี้ยวซ้ายหรือขวา,ให้สัญญาณไฟฉุกเฉินเมื่อต้องการขับรถตรงไป,false,ให้สัญญาณไฟเฉพาะเลี้ยวขวาเท่านั้น,false,ให้สัญญาณไฟทุกครั้งเมื่อต้องการเลี้ยวซ้ายหรือขวา,true,ไม่จำเป็นต้องให้สัญญาณไฟเลี้ยวขวาหรือซ้าย เมื่อขับตามรถคันหน้าที่ให้สัญญาณไฟเลี้ยวไปทางเดียวกัน,false,[  ],มารยาทและจิตสำนึก
"ใครบ้างที่ต้องคาดเข็มขัดนิรภัยขณะโดยสารไปในรถยนต์เพื่อความปลอดภัยของชีวิต",เพื่อความปลอดภัยของชีวิต คนขับรถและผู้โดยสารทุกคน ทั้งผู้ใหญ่และเด็กที่นั่งตอนหน้าและตอนหลังรถต้องคาดเข็มขัดนิรภัย ขณะโดยสารไปในรถยนต์ตลอดเวลา,คนขับรถและผู้โดยสารทุกคนทั้งผู้ใหญ่และเด็กที่นั่งตอนหน้าและตอนหลังรถ,true,คนขับรถและผู้โดยสารที่นั่งตอนหน้ารถเท่านั้น,false,คนขับรถและผู้โดยสารที่มีอายุมากกว่า 12 ปีขึ้นไป เพราะสามารถคาดเข็มขัดนิรภัยได้,false,คนขับรถและผู้โดยสาร ยกเว้นคนแก่กับเด็กที่มีอายุน้อยกว่า 12 ปีลงมา,false,[  ],มารยาทและจิตสำนึก
"ผู้ขับรถควรทำอย่างไรให้แซงรถได้อย่างปลอดภัยและไม่เสียมารยาท",การแซงรถอย่างปลอดภัยและไม่เสียมารยาท ผู้ขับรถควรให้สัญญาณไฟก่อนแซง เร่งความเร็วแซงขึ้นไป เว้นระยะห่างก่อนให้สัญญาณไฟขอกลับเข้าช่องจราจรเดิม เร่งความเร็วให้เหมาะสมกับรถที่อยู่ด้านหน้า,บีบแตรให้สัญญาณก่อนแซง เร่งความเร็วแซงซ้ายหรือขวาขึ้นไปตลอดเส้นทางที่รถวิ่ง,false,ให้สัญญาณไฟก่อนแซงเร่งความเร็วแซงขึ้นไปแซงแล้วรีบหักกลับเข้าช่องทางเดิมในระยะกระชั้นชิดลดความเร็วลงให้เท่ากับรถที่แซงขึ้นไป,false,บีบแตรให้สัญญาณก่อนแซงเร่งความเร็วแซงขึ้นไปแซงแล้ววิ่งรถคู่ขนานไปกับรถที่แซงขึ้นไปอีกระยะหนึ่ง,false,ให้สัญญาณไฟก่อนแซง เร่งความเร็วแซงขึ้นไป เว้นระยะห่างก่อนให้สัญญาณไฟขอกลับเข้าช่องจราจรเดิม เร่งความเร็วรถให้เหมาะสมกับรถที่อยู่ด้านหน้า,true,[  ],มารยาทและจิตสำนึก
"ท่านควรทำอย่างไรเมื่อผู้ขับรถคันอื่นให้สัญญาณไฟขอเข้าใช้ช่องจราจรร่วมกับท่าน",เมื่อผู้ขับรถคันอื่นให้สัญญาณไฟขอเข้าใช้ช่องจราจรร่วมกับท่าน ท่านควรให้สัญญาณตอบรับโดยชะลอความเร็ว เว้นระยะให้รถคันนั้นสามารถเปลี่ยนช่องจราจรเข้ามาได้อย่างปลอดภัย,ให้สัญญาณตอบรับโดยชะลอความเร็ว เว้นระยะให้รถคันนั้นสามารถเปลี่ยนช่องจราจรเบี่ยงเข้ามาได้อย่างปลอดภัย,true,บีบแตรเตือน รีบขับชิดรถคันหน้า กันไม่ให้เบี่ยงแทรกเข้ามา,false,ขับชิดรถคันหน้า พยายามเบียดไม่ให้รถคันหน้าแทรกเข้ามาด้านหน้ารถได้,false,เร่งความเร็วรถเป็นระยะ ไม่เปิดช่องว่างให้แทรกเข้ามาในช่องจราจรของเราได้,false,[  ],มารยาทและจิตสำนึก
"เมื่อขับรถในช่องจราจรขวาสุด และมีรถด้านหลังขับขึ้นมาด้วยความเร็วสูง ท่านควรทำอย่างไร",เมื่อขับรถในช่องจราจรขวาสุด และมีรถด้านหลังขับขึ้นมาด้วยความเร็วสูง ท่านควรให้สัญญาณไฟเลี้ยวซ้ายและเปลี่ยนไปยังช่องจราจรด้านซ้าย เพื่อให้รถที่มีความเร็วสูงกว่ารถของท่านแซงขึ้นไปอย่างปลอดภัย,ให้สัญญาณไฟเลี้ยวซ้าย และเปลี่ยนไปยังช่องจราจรด้านซ้าย เพื่อให้รถที่มีความเร็วสูงกว่ารถของท่านแซงขึ้นไปอย่างปลอดภัย,true,เร่งความเร็วหนีรถด้านหลัง พยายามขับทิ้งระยะให้ห่างจากรถคันหลัง,false,ขับด้วยความเร็วเดิม เพื่อให้รถด้านหลังเปลี่ยนช่องจราจรไปทางซ้าย,false,ให้สัญญาณไฟเลี้ยวซ้าย หักหลบไปยังช่องจราจรซ้าย เร่งความเร็วแข่งกับรถในช่องจราจรขวา,false,[  ],มารยาทและจิตสำนึก
"ท่านควรทำอย่างไรเมื่อผู้ขับรถคันอื่นเปิดทางให้ท่านไปก่อนหรือเข้าร่วมใช้ช่องจราจรด้วย",เมื่อผู้ขับรถคันอื่นเปิดทางให้ท่านไปก่อนหรือเข้าร่วมใช้ช่องจราจรด้วย ท่านควรก้มหัวขอบคุณ พร้อมกับเคลื่อนรถออกไปหรือเข้าร่วมใช้ช่องจราจรที่ขอเข้าร่วมด้วยความระมัดระวัง,เร่งรถออกไปโดยตัดข้ามไปยังช่องจราจรถัดไปด้วย,false,ก้มหัวหรือยกมือขอบคุณ พร้อมกับเคลื่อนรถออกไปหรือเข้าร่วมใช้ช่องจราจรในลักษณะเร่งร้อน,false,ก้มหัวขอบคุณ พร้อมกับเคลื่อนรถออกไปหรือเข้าร่วมใช้ช่องจราจรที่ขอเข้าร่วมด้วยความระมัดระวัง,true,ขับรถออกไปหรือเข้าร่วมช่องจราจรแบบช้าๆ และพยายามเบียดข้ามไปยังช่องจราจรถัดไป,false,[  ],มารยาทและจิตสำนึก
"การกระทำใดของผู้ขับรถซึ่งเป็นพฤติกรรมที่ไร้มารยาทและอาจก่อให้เกิดอุบัติเหตุได้",การขับรถจี้ท้ายรถด้านหน้าที่ขับช้า พร้อมกับบีบแตรไล่เป็นพฤติกรรมที่ไร้มารยาทและอาจก่อให้เกิดอุบัติเหตุได้,ขับรถตามรถด้านหน้าโดยเว้นระยะห่างที่เหมาะสม,false,ขับรถจี้ท้ายรถด้านหน้าที่ขับช้า พร้อมกับบีบแตรไล่,true,บีบแตรเตือนรถที่กำลังถอยหลังมาชนรถของท่านซึ่งจอดติดไฟแดงอยู่,false,เปิดไฟตัดหมอกเมื่อฝนตกหนัก,false,[  ],มารยาทและจิตสำนึก
