question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images.0,category
"การขับรถขณะฝนตก ข้อใดที่ผู้ขับขี่ไม่ควรปฏิบัติ",การขับรถขณะฝนตก ผู้ขับขี่ไม่ควรเปิดไฟฉุกเฉินตลอดเส้นทาง,เปิดไฟฉุกเฉินตลอดเส้นทาง,true,เปิดที่ปัดน้ำฝน,false,ใช้ความระมัดระวังเพิ่มมากขึ้น,false,ลดความเร็วของรถลงกว่าปกติ,false,,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อเกิดรถเสีย ควรปฏิบัติอย่างไร",เมื่อเกิดรถเสีย ควรนำรถจอดเข้าข้างทาง เปิดไฟฉุกเฉิน,จอดรถทิ้งไว้กลางถนน,false,นำกิ่งไม้วางไว้ท้ายรถ,false,เผาป่าข้างทางหากเป็นกลางคืน,false,"นำรถจอดเข้าข้างทาง, เปิดไฟฉุกเฉิน",true,,เทคนิคการขับรถอย่างปลอดภัย
"สัญญาณไฟเตือนบนแผงหน้าปัดรถสีใด ที่ไม่ควรปรากฏขณะขับรถ",สัญญาณเตือนบนแผงหน้าปัดรถสีแดง ไม่ควรปรากฏขณะขับรถ,สีแดง,true,สีเขียว,false,สีเหลือง,false,สีฟ้า,false,,เทคนิคการขับรถอย่างปลอดภัย
"การจับพวงมาลัยนิ้วมือควรอยู่ในลักษณะใด",การจับพวงมาลัยรถ นิ้วมือทั้งห้าต้องจับพวงมาลัยให้กระชับ สามารถหมุนได้คล่องตัว,นิ้วมือทั้งห้า จับพวงมาลัยให้กระชับ สามารถหมุนได้คล่องตัว,true,นิ้วมือทั้งห้า กำพวงมาลัยให้แน่นที่สุด,false,นิ้วมือทั้งห้าแตะที่พวงมาลัย สามารถหมุนพวงมาลัยด้วยมือข้างเดียว,false,ใช้นิ้วหัวแม่มือและนิ้วชี้จับพวงมาลัยเพียงสองนิ้ว,false,,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อผู้ขับขี่ขับรถเสียหลักบนถนนเปียกลื่น ควรปฏิบัติอย่างไร",เมื่อผู้ขับขี่ขับรถเสียหลักบนถนนเปียกลื่น ควรถอนคันเร่ง จับพวงมาลัยให้มั่นประคองรถต่อไป,เหยียบเบรกทันที แล้วค่อยๆออกตัวเร่งความเร็วใหม่,false,ถอนคันเร่ง เหยียบเบรกเพื่อใช้เกียร์ต่ำ,false,ถอนคันเร่ง จับพวงมาลัยให้มั่นประคองรถต่อไป,true,ตั้งสติให้มั่น จับพวงมาลัยให้ดี เร่งความเร็วหนีให้พ้นไป,false,,เทคนิคการขับรถอย่างปลอดภัย
"ขณะขับรถขึ้นทางลาดชัน ถ้าเครื่องยนต์ดับควรปฏิบัติอย่างไร",หากเครื่องยนต์ดับขณะขับรถขึ้นทางลาดชัน ให้เหยียบเบรก ดึงเบรกมือ เข้าเกียร์ว่าง และติดเครื่องใหม่,เหยียบเบรก ดึงเบรกมือ เข้าเกียร์ว่าง และ ติดเครื่องใหม่,true,เหยียบเบรก ดึงเบรกมือ และ ติดเครื่องใหม่,false,เปลี่ยนเป็นเกียร์ต่ำ ดึงเบรกมือ และติดเครื่องใหม่,false,ปล่อยให้รถไหลไป แล้วค่อยประคองรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"ขณะขับรถ ถ้ากระจกบังลมหน้ารถแตกร้าว ควรปฎิบัติอย่างไร",หากกระจกบังลมหน้ารถแตกร้าวขณะขับรถ ให้ตั้งสติ ลดความเร็ว จอดรถข้างทาง เปิดไฟฉุกเฉิน,ตั้งสติ ลดความเร็ว จอดรถข้างทาง เปิดไฟฉุกเฉิน,true,ตั้งสติ เปิดไฟฉุกเฉิน และขับรถต่อไป,false,ตั้งสติ เปิดไฟฉุกเฉิน และหยุดรถทันที,false,ตั้งสติ จอดรถข้างทาง,false,,เทคนิคการขับรถอย่างปลอดภัย
"เพื่อความปลอดภัยในการขับรถช่วงฤดูฝน ควรตรวจสอบอุปกรณ์ส่วนควบสิ่งใดของรถก่อนเป็นลำดับแรก",การขับรถช่วงฤดูฝน ควรตรวจสอบที่ปัดน้ำฝนก่อนเป็นลำดับแรก,ที่ปัดน้ำฝน,true,น้ำในหม้อน้ำ,false,น้ำกลั่นแบตเตอรี่,false,ตรวจเช็คประตูหน้าต่างรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดเปิดไฟหน้ารถไม่ถูกต้อง",การเปิดไฟหน้ารถเมื่อต้องเร่งรีบไปทำงานเป็นพฤติกรรมที่ไม่ถูกต้อง,เมื่อไม่สามารถมองเห็นทางข้างหน้าในระยะต่ำกว่า 150 เมตร,false,เมื่อต้องเร่งรีบไปทำงาน,true,เมื่อฝนตกหนัก,false,เมื่อมีควันไฟปกคลุมถนน,false,,เทคนิคการขับรถอย่างปลอดภัย
"ในขณะที่ขับรถอยู่ มีกลิ่นเหม็นไหม้ แอร์เริ่มไม่เย็น เครื่องยนต์เร่งไม่ขึ้น ควรปฏิบัติอย่างไร",หากขณะขับรถ มีกลิ่นเหม็นไหม้ แอร์เริ่มไม่เย็น เครื่องยนต์เร่งไม่ขึ้น ควรจอดรถในที่ปลอดภัยแล้วเรียกช่างมาตรวจเช็ค,ขับต่อไปเรื่อยๆ,false,ลดความเร็วลงแล้วขับต่อไป,false,หยุดรถทันทีกลางถนนห้ามเคลื่อนย้าย,false,จอดรถในที่ปลอดภัยแล้วเรียกช่างมาตรวจเช็ค,true,,เทคนิคการขับรถอย่างปลอดภัย
